ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,snippet,sentiment
2022-05-03,160.47096218633567,148.56641160820055,167.2996227100677,160.47096218633567,160.47096218633567,-2.477948223956677,-2.477948223956677,-2.477948223956677,0.6485543575545946,0.6485543575545946,0.6485543575545946,-3.1265025815112715,-3.1265025815112715,-3.1265025815112715,0.0,0.0,0.0,157.993013962379,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-04,160.36469101015388,148.47031438242453,166.41451903481513,160.36469101015388,160.36469101015388,-2.5716947370522454,-2.5716947370522454,-2.5716947370522454,0.7198862168451164,0.7198862168451164,0.7198862168451164,-3.2915809538973617,-3.2915809538973617,-3.2915809538973617,0.0,0.0,0.0,157.79299627310164,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-05,160.2584198339721,148.62272983248482,166.1004652910453,160.2584198339721,160.2584198339721,-2.809036608295,-2.809036608295,-2.809036608295,0.6663410059535441,0.6663410059535441,0.6663410059535441,-3.475377614248543,-3.475377614248543,-3.475377614248543,0.0,0.0,0.0,157.4493832256771,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-06,160.15214865779032,148.3130700039716,166.97675108572767,160.15214865779032,160.15214865779032,-3.044676748795666,-3.044676748795666,-3.044676748795666,0.6310581140010832,0.6310581140010832,0.6310581140010832,-3.67573486279675,-3.67573486279675,-3.67573486279675,0.0,0.0,0.0,157.10747190899465,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-09,159.833335129245,146.86301566817298,165.2830473275534,159.833335129245,159.833335129245,-3.5386175278030745,-3.5386175278030745,-3.5386175278030745,0.8119409621062952,0.8119409621062952,0.8119409621062952,-4.350558489909369,-4.350558489909369,-4.350558489909369,0.0,0.0,0.0,156.29471760144193,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-10,159.72706395306324,146.40230496405974,164.67458637020368,159.72706395306324,159.72706395306324,-3.9419433044743744,-3.9419433044743744,-3.9419433044743744,0.6485543575547167,0.6485543575547167,0.6485543575547167,-4.590497662029091,-4.590497662029091,-4.590497662029091,0.0,0.0,0.0,155.78512064858887,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-11,159.62079277688144,145.87053118103205,164.7963515103864,159.62079277688144,159.62079277688144,-4.11290205195073,-4.11290205195073,-4.11290205195073,0.7198862168450515,0.7198862168450515,0.7198862168450515,-4.832788268795781,-4.832788268795781,-4.832788268795781,0.0,0.0,0.0,155.50789072493072,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-12,159.51452160069968,146.39045659116093,164.66523614183865,159.51452160069968,159.51452160069968,-4.407899280587088,-4.407899280587088,-4.407899280587088,0.6663410059529362,0.6663410059529362,0.6663410059529362,-5.074240286540025,-5.074240286540025,-5.074240286540025,0.0,0.0,0.0,155.1066223201126,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-13,159.40825042451792,144.96265163970443,164.37346129056854,159.40825042451792,159.40825042451792,-4.680615544322045,-4.680615544322045,-4.680615544322045,0.6310581140014253,0.6310581140014253,0.6310581140014253,-5.31167365832347,-5.31167365832347,-5.31167365832347,0.0,0.0,0.0,154.72763488019586,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-16,159.08943689597257,144.34036385720668,162.72367892762054,159.08943689597257,159.08943689597257,-5.157432992960223,-5.157432992960223,-5.157432992960223,0.8119409621079714,0.8119409621079714,0.8119409621079714,-5.969373955068195,-5.969373955068195,-5.969373955068195,0.0,0.0,0.0,153.93200390301234,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-17,158.9831657197908,144.0625656455084,162.6957288108071,158.9831657197908,158.9831657197908,-5.512497532293316,-5.512497532293316,-5.512497532293316,0.648554357553217,0.648554357553217,0.648554357553217,-6.161051889846533,-6.161051889846533,-6.161051889846533,0.0,0.0,0.0,153.4706681874975,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-18,158.87689454360904,143.91657989623272,162.06048970380672,158.87689454360904,158.87689454360904,-5.614960366721377,-5.614960366721377,-5.614960366721377,0.7198862168449561,0.7198862168449561,0.7198862168449561,-6.334846583566333,-6.334846583566333,-6.334846583566333,0.0,0.0,0.0,153.26193417688768,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-19,158.77062353377815,143.9457745301397,162.30088684634367,158.77062353377815,158.77062353377815,-5.822384903929724,-5.822384903929724,-5.822384903929724,0.6663410059536976,0.6663410059536976,0.6663410059536976,-6.488725909883421,-6.488725909883421,-6.488725909883421,0.0,0.0,0.0,152.94823862984842,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-20,158.66435252394726,143.92100997187828,161.6000519279773,158.66435252394726,158.66435252394726,-5.989934406866481,-5.989934406866481,-5.989934406866481,0.6310581140017674,0.6310581140017674,0.6310581140017674,-6.620992520868247,-6.620992520868247,-6.620992520868247,0.0,0.0,0.0,152.6744181170808,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-23,158.34553949445453,142.650363058495,161.4411832695967,158.34553949445453,158.34553949445453,-6.064683426332711,-6.064683426332711,-6.064683426332711,0.8119409621008651,0.8119409621008651,0.8119409621008651,-6.876624388433576,-6.876624388433576,-6.876624388433576,0.0,0.0,0.0,152.2808560681218,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-24,158.23926848462364,142.9709422292948,160.49768653509355,158.23926848462364,158.23926848462364,-6.264301046040244,-6.264301046040244,-6.264301046040244,0.6485543575533392,0.6485543575533392,0.6485543575533392,-6.912855403593583,-6.912855403593583,-6.912855403593583,0.0,0.0,0.0,151.9749674385834,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-25,158.13299747479277,143.07471507561692,160.75544949396863,158.13299747479277,158.13299747479277,-6.204703752489154,-6.204703752489154,-6.204703752489154,0.7198862168448911,0.7198862168448911,0.7198862168448911,-6.924589969334044,-6.924589969334044,-6.924589969334044,0.0,0.0,0.0,151.92829372230358,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-26,158.02672646496185,142.21717256271873,161.15002956033717,158.02672646496185,158.02672646496185,-6.246034393384648,-6.246034393384648,-6.246034393384648,0.6663410059519818,0.6663410059519818,0.6663410059519818,-6.91237539933663,-6.91237539933663,-6.91237539933663,0.0,0.0,0.0,151.7806920715772,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-27,157.9204554551309,142.48135285540548,160.8561631906501,157.9204554551309,157.9204554551309,-6.246039296725789,-6.246039296725789,-6.246039296725789,0.6310581139999516,0.6310581139999516,0.6310581139999516,-6.8770974107257405,-6.8770974107257405,-6.8770974107257405,0.0,0.0,0.0,151.67441615840514,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-31,157.49537141580734,142.02972490359684,160.56424829869937,157.49537141580734,157.49537141580734,-5.884482700899951,-5.884482700899951,-5.884482700899951,0.6485543575534612,0.6485543575534612,0.6485543575534612,-6.533037058453413,-6.533037058453413,-6.533037058453413,0.0,0.0,0.0,151.6108887149074,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-06-01,157.38910040597645,142.86392308255898,161.15048191680768,157.38910040597645,157.38910040597645,-5.685228867915328,-5.685228867915328,-5.685228867915328,0.719886216845136,0.719886216845136,0.719886216845136,-6.405115084760464,-6.405115084760464,-6.405115084760464,0.0,0.0,0.0,151.70387153806112,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
